,Agrocapi,Agrostis_spp,Anthodor,Aulapalu,Callvulg,Cardprat,Carenigr,Carepanic,Carepilu,Carex_spp,Cerafont,Cirspalu,Cynocris,Desccesp,Descflex,Dricscop,Durodili,Empenigr,Erictetr,Erioangu,Eriovagi,Festovin,Festrubr,Galisaxa,Holclana,Hylosple,Hylosple.1,Hypnjutu,Junceffu,Juncsqua,Luzumulti,Luzusylv,Molicaer,Nardstri,Plagiotundu,Pleuschr,Poaannu,Poaprat,Poatriv,Polycomm,Poteerec,Pseupuru,Ranurepe,Rhytlore,Rhytsqua,Rumeacetosa,Rumeacetosella,Sphacapi,Sphafall,sphapalu,Stelalsi,Taraxacu,Thuitama,Triccesp,Trifrepe,Vaccmyrt
30,0,0,1.0309278351,0,0,0,16.4948453608,0,0,0,0,0,0,0,1.0309278351,0,0,0,0,2.0618556701,0,4.1237113402,0,2.0618556701,0,0,0,0,0,4.1237113402,0,0,57.7319587629,7.2164948454,0,1.0309278351,0,0,0,0,2.0618556701,0,0,0,1.0309278351,0,0,0,0,0,0,0,0,0,0,0
31,22.4489795918,4.0816326531,8.1632653061,0,0,0,0,0,0,0,0,0,0,0,1.0204081633,0,0,0,0,0,0,3.0612244898,0,0,0,0,0,0,0,0,0,0,42.8571428571,5.1020408163,0,0,0,6.1224489796,0,0,0,0,0,0,7.1428571429,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,48,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,17,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,2,1,10,0,4,0,0,0,0,0,0,0,10,0,0,0,0,3,12,2,0,0,0,0,0,0,0,2,0,0,37,0,0,2,0,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,1.0526315789,0,1.0526315789,0,0,0,0,0,0,0,6.3157894737,0,0,0,9.4736842105,0,22.1052631579,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,17.8947368421,0,0,0,0,0,0,0,0,2.1052631579,0,0,0,0,0,0,0
35,25.4545454545,0,0,0,3.6363636364,0,50.9090909091,0,0,0,0,0,0,0,5.4545454545,0,0,0,0,0,0,3.6363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8181818182,0,0,0,0,0,0,0,9.0909090909,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,4.3010752688,0,0,0,0,0,0,0,3.2258064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7849462366,15.0537634409,0,0,0,0,0,36.5591397849,1.0752688172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
38,0,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,1.0101010101,0,0,0,0,0,0,0,11.1111111111,0,0,0,0,0,0,10.101010101,0,0,0,0,2.0202020202,0,0,0,0,0,73.7373737374,0,0,0,0,0,0,1.0101010101,1.0101010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
